"Dx","GIMME","iMAT","INIT","FASTCORE"
"D1_Soft_Tissue_Serous_Adenocarcinoma",182,164,183,157
"D2_Adrenal_Gland_Oncocytoma",176,154,179,144
"D3_Adrenal_Gland_Pheochromocytoma",182,167,184,157
"D4_Appendix_Signet_Ring_Cell_Carcinoma",184,162,183,160
"D5_Colon_Adenocarcinoma",181,151,183,146
"D6_Bladder_Papillary_transitional_cell_carcinoma",176,153,179,149
"D7_Bladder_Small_Cell_Carcinoma",183,165,184,157
"D8_Bladder_Squamous_cell_carcinoma",184,162,184,154
"D9_Bladder_Transitional_cell_carcinoma",180,157,181,153
"D10_Bladder_Urothelial__transitional_cell__carcinoma",179,148,179,150
"D11_Bone_Osteosarcoma",186,157,184,152
"D12_Brain_Astrocytoma",179,153,181,145
"D13_Brain_Glioblastoma_multiformae",167,158,174,151
"D14_Breast_Adenoid_Cystic_Carcinoma",184,138,182,130
"D15_Breast_Colloid_Adenocarcinoma",184,142,185,138
"D16_Breast_Cribiform_Carcinoma",183,166,183,153
"D17_Breast_Ductal_and_Lobular_carcinoma",177,156,180,155
"D18_Breast_Ductal_Carcinoma",183,162,185,157
"D19_Breast_Ductal_Carcinoma_In_situ__DCIS__with_focal_Comedo_Ca",178,159,181,157
"D20_Breast_Inflammatory_Carcinoma",179,160,180,156
"D21_Breast_Intracystic_carcinoma",179,157,180,150
"D22_Breast_Intraductal_Carcinoma",180,152,182,144
"D23_Breast_Intraductal_papillary_carcinoma",180,132,182,123
"D24_Breast_Invasive_Ductal_Carcinoma",182,159,183,155
"D25_Breast_Invasive_ductal_carcinoma_mucinous_type",177,160,180,155
"D26_Breast_Lobular_Carcinoma",183,159,185,152
"D27_Breast_Lobular_carcinoma_in_situ",181,158,182,149
"D28_Breast_Medullary_Carcinoma_NOS",182,158,182,152
"D29_Breast_Metaplastic_Carcinoma",186,162,186,150
"D30_Breast_Metaplastic_squamous_carcinoma",183,162,184,156
"D31_Breast_Mucinous_Carcinoma",185,162,186,149
"D32_Breast_Papillary_carcinoma",181,158,182,150
"D33_Breast_Papillary_Carcinoma__predominantly_micropapillary_pa",178,147,179,145
"D34_Bronchus___Lung_Adenocarcinoma_NOS",183,158,183,154
"D35_Cecum_Adenocarcinoma",183,155,184,145
"D36_Cecum_Adenocarcinoma_arising_in_a_villous_adenoma",183,155,184,147
"D37_Cecum_Mucinous_Adenocarcinoma",181,157,183,153
"D38_Cervical_Lymph_Node_Diffuse_large_B_cell_lymphoma",183,159,184,153
"D39_Cervical_Lymph_Node_Papillary_carcinoma",182,146,183,140
"D40_Cervix_Adenocarcinoma_NOS",183,163,183,159
"D41_Cervix_Adenosquamous_Carcinoma",179,156,182,150
"D42_Cervix_Endometrioid_carcinoma",180,157,181,156
"D43_Cervix_Mucinous_Adenocarcinoma_Endocervical_Type",178,158,182,155
"D44_Cervix_Squamous_cell_carcinoma",181,163,183,163
"D45_Cervix_Squamous_cell_carcinoma_non_keratinizing",182,164,183,159
"D46_Cervix_Uteri_Adenocarcinoma",185,159,185,152
"D47_Cervix_Uteri_Mucinous_Adenocarcinoma",182,158,183,158
"D48_Cervix_Uteri_Small_cell_carcinoma_NOS",181,159,182,155
"D49_Cervix_Uteri_Squamous_cell_carcinoma",185,164,185,157
"D50_Cervix_Uteri_Squamous_cell_carcinoma_keratinizing",183,161,184,155
"D51_Cervix_Uteri_Squamous_cell_carcinoma_non_keratinizing",181,160,182,153
"D52_Cervix_Uteri_Squamous_cell_carcinoma_spindle_cell_type",186,164,185,161
"D53_Cervix_Uteri_Squamous_cell_carcinoma_verrucous",182,159,182,159
"D54_Colon_Adenocarcinoma",186,157,187,157
"D55_Colon_Adenocarcinoma_arising_in_a_villous_adenoma",183,151,184,154
"D56_Colon_Adenocarcinoma_In_situ",182,155,182,152
"D57_Colon_Carcinoma_in_situ_arising_in_a_villous_adenoma",182,153,181,151
"D58_Colon_Clear_cell_adenocarcinoma",185,159,184,152
"D59_Colon_Colloid_Carcinoma",184,163,186,154
"D60_Colon_Medullary_Carcinoma",182,155,185,148
"D61_Colon_Mucinous_Adenocarcinoma",184,161,184,154
"D62_Colon_Mucinous_Carcinoma",183,156,183,154
"D63_Colon_Mucin_producing_adenocarcinoma",183,161,184,154
"D64_Colon_Signet_Ring_Cell_Carcinoma",185,157,185,153
"D65_Colon_Undifferentiated_Carcinoma",182,149,183,148
"D66_Colon_Mantle_Cell_Lymphoma",173,152,178,149
"D67_Common_Bile_Duct_Cholangiocarcinoma",184,157,185,151
"D68_Corpus_Uteri_Endometrioid_carcinoma",183,159,183,156
"D69_Corpus_Uteri_Malignant_mixed_muellerian_tumor",182,157,183,157
"D70_Corpus_Uteri_Serous_adenocarcinoma__papillary_serous_",181,167,182,164
"D71_Duodenum_Adenocarcinoma",180,164,182,159
"D72_Endometrium_Adenosarcoma",180,162,179,156
"D73_Endometrium_Carcinoma_NOS",182,162,182,153
"D74_Endometrium_Clear_cell_adenocarcinoma",182,164,181,158
"D75_Endometrium_Endometrioid_Adenocarcinoma",181,153,182,150
"D76_Endometrium_Endometrioid_carcinoma",182,158,182,158
"D77_Endometrium_Malignant_mixed_muellerian_tumor",181,160,181,162
"D78_Endometrium_Mixed_endometrioid_and_serous_adenocarcinoma",184,158,184,153
"D79_Endometrium_Papillary_Serous_Adenocarcinoma",181,160,183,156
"D80_Endometrium_Serous_adenocarcinoma__papillary_serous_",181,167,183,163
"D81_Endometrium_Undifferentiated_endometrial_sarcoma",175,157,179,150
"D82_Esophagus_Adenocarcinoma",186,161,186,150
"D83_Esophagus_Signet_ring_cell_adenocarcinoma",184,164,184,154
"D84_Exocrine_Pancreas_Ductal_adenocarcinoma",182,160,184,157
"D85_Exocrine_Pancreas_Ductal_Carcinoma",181,165,184,158
"D86_Exocrine_Pancreas_Intraductal_papillary_mucinous_carcinoma_",179,160,181,155
