"Dx","GIMME","iMAT","INIT","FASTCORE"
"A_431",175,151,180,147
"A549",181,148,184,143
"CACO_2",174,144,179,149
"CAPAN_2",177,140,180,134
"Daudi",184,152,183,151
"HAP1",182,153,182,152
"HDLM_2",177,159,180,157
"HeLa",181,160,183,158
"HepG2",172,150,180,142
"HL_60",180,158,182,146
"HMC_1",174,154,179,157
"K_562",182,154,179,150
"Karpas_707",180,155,184,151
"MOLT_4",182,161,182,157
"NB_4",174,151,178,150
"REH",179,156,180,154
"RPMI_8226",175,148,181,142
"RT4",177,158,179,160
"SCLC_21H",182,158,181,157
"SiHa",179,149,181,146
"T_47d",176,150,181,152
"THP_1",180,154,182,147
"U_138MG",183,161,186,155
"U_2OS",182,161,183,158
"U_2197",183,155,186,148
"U_251MG",185,165,184,159
"U_266_70",180,158,182,152
"U_266_84",182,155,182,151
"U_698",184,158,182,153
"U_87MG",185,151,185,144
"U_937",180,149,183,140
"WM_115",179,137,183,128
