Source;Location;Type;Cancer;Samples
Cell-line;Transcriptome;RNA-Seq (HPA);Acute lymphoblastic leukemia (T-ALL) cell line;1
Cell-line;Transcriptome;RNA-Seq (HPA);Acute monocytic leukemia (AML) cell line;1
Cell-line;Transcriptome;RNA-Seq (HPA);Acute promyelocytic leukemia (APL) cell line;2
Cell-line;Transcriptome;RNA-Seq (HPA);B-cell lymphoma cell line (lymphoblastic lymphosarcoma);
Cell-line;Transcriptome;RNA-Seq (HPA);Cervical epithelial adenocarcinoma cell line;2
Cell-line;Transcriptome;RNA-Seq (HPA);Chronic myeloid leukemia (CML) cell line;2
Cell-line;Transcriptome;RNA-Seq (HPA);Colon adenocarcinoma cell line;1
Cell-line;Transcriptome;RNA-Seq (HPA);Epidermoid carcinoma cell line;1
Cell-line;Transcriptome;RNA-Seq (HPA);Glioblastoma cell line;3
Cell-line;Transcriptome;RNA-Seq (HPA);Hepatocellular carcinoma cell line;1
Cell-line;Transcriptome;RNA-Seq (HPA);Hodgkin lymphoma cell line;1
Cell-line;Transcriptome;RNA-Seq (HPA);Human Burkitt lymphoma cell line;1
Cell-line;Transcriptome;RNA-Seq (HPA);Invasive ductal carcinoma;1
Cell-line;Transcriptome;RNA-Seq (HPA);Lung carcinoma cell line;1
Cell-line;Transcriptome;RNA-Seq (HPA);Malignant fibrous histiocytoma cell line;1
Cell-line;Transcriptome;RNA-Seq (HPA);Malignant melanoma cell line;1
Cell-line;Transcriptome;RNA-Seq (HPA);Mastcell leukemia cell line;1
Cell-line;Transcriptome;RNA-Seq (HPA);Multiple myeloma cell line;4
Cell-line;Transcriptome;RNA-Seq (HPA);Myelomonocytic histiocytic lymphoma cell line;1
Cell-line;Transcriptome;RNA-Seq (HPA);Osteosarcoma cell line;1
Cell-line;Transcriptome;RNA-Seq (HPA);Pancreas adenocarcinoma cell line;1
Cell-line;Transcriptome;RNA-Seq (HPA);Pre-B cell leukemia cell line (ALL, first relapse);1
Cell-line;Transcriptome;RNA-Seq (HPA);Small cell lung carcinoma cell line;1
Cell-line;Transcriptome;RNA-Seq (HPA);Urinary bladder transitional cell carcinoma cell line;1
Cell-line;Transcriptome;Microarray (EMTAB-37);Acute B Cell Lymphocytic Leukemia;2
Cell-line;Transcriptome;Microarray (EMTAB-37);Acute Lymphoblastic Leukemia  ;8
Cell-line;Transcriptome;Microarray (EMTAB-37);Acute Myeloid Leukemia  ;8
Cell-line;Transcriptome;Microarray (EMTAB-37);Acute T Cell Lymphoblastic Leukemia;2
Cell-line;Transcriptome;Microarray (EMTAB-37);B-Cell Neoplasm   ;14
Cell-line;Transcriptome;Microarray (EMTAB-37);Bladder Carcinoma   ;10
Cell-line;Transcriptome;Microarray (EMTAB-37);Blast Phase Chronic Myelogenous Leukemia;4
Cell-line;Transcriptome;Microarray (EMTAB-37);Bone Osteosarcoma   ;2
Cell-line;Transcriptome;Microarray (EMTAB-37);Bone Sarcoma   ;2
Cell-line;Transcriptome;Microarray (EMTAB-37);Brain Carcinoma   ;1
Cell-line;Transcriptome;Microarray (EMTAB-37);Brain Glioblastoma   ;1
Cell-line;Transcriptome;Microarray (EMTAB-37);Brain Medulloblastoma   ;1
Cell-line;Transcriptome;Microarray (EMTAB-37);Brain Neuroblastoma   ;3
Cell-line;Transcriptome;Microarray (EMTAB-37);Breast Carcinoma   ;19
Cell-line;Transcriptome;Microarray (EMTAB-37);Burkitt Lymphoma   ;16
Cell-line;Transcriptome;Microarray (EMTAB-37);Cervix Uteri Carcinoma  ;7
Cell-line;Transcriptome;Microarray (EMTAB-37);Chronic Lymphocytic Leukemia  ;1
Cell-line;Transcriptome;Microarray (EMTAB-37);Chronic Myelogenous Leukemia  ;3
Cell-line;Transcriptome;Microarray (EMTAB-37);CNS Astrocytoma   ;1
Cell-line;Transcriptome;Microarray (EMTAB-37);CNS Glioblastoma   ;6
Cell-line;Transcriptome;Microarray (EMTAB-37);CNS Medulloblastoma   ;1
Cell-line;Transcriptome;Microarray (EMTAB-37);CNS Neuroblastoma   ;3
Cell-line;Transcriptome;Microarray (EMTAB-37);Colon Carcinoma   ;20
Cell-line;Transcriptome;Microarray (EMTAB-37);Connective Tissue Fibrosarcoma  ;2
Cell-line;Transcriptome;Microarray (EMTAB-37);Connective Tissue Liposarcoma  ;1
Cell-line;Transcriptome;Microarray (EMTAB-37);Cutaneous T Cell Lymphoma ;2
Cell-line;Transcriptome;Microarray (EMTAB-37);Erythroleukemia    ;1
Cell-line;Transcriptome;Microarray (EMTAB-37);Esophagus Esophageal Carcinoma  ;3
Cell-line;Transcriptome;Microarray (EMTAB-37);Esophagus Squamous Cell Carcinoma ;1
Cell-line;Transcriptome;Microarray (EMTAB-37);Eye Retinoblastoma   ;1
Cell-line;Transcriptome;Microarray (EMTAB-37);Hodgkin Lymphoma   ;3
Cell-line;Transcriptome;Microarray (EMTAB-37);Kidney Carcinoma   ;5
Cell-line;Transcriptome;Microarray (EMTAB-37);Kidney Choriocarcinoma   ;1
Cell-line;Transcriptome;Microarray (EMTAB-37);Kidney Leiomyoblastoma   ;1
Cell-line;Transcriptome;Microarray (EMTAB-37);Kidney Wilms Tumor  ;2
Cell-line;Transcriptome;Microarray (EMTAB-37);Liver Carcinoma   ;9
Cell-line;Transcriptome;Microarray (EMTAB-37);Lung Adenocarcinoma   ;22
Cell-line;Transcriptome;Microarray (EMTAB-37);Lung Anaplastic Carcinoma  ;1
Cell-line;Transcriptome;Microarray (EMTAB-37);Lung Atypical Carcinoid Tumor ;1
Cell-line;Transcriptome;Microarray (EMTAB-37);Lung Bronchogenic Carcinoma  ;1
Cell-line;Transcriptome;Microarray (EMTAB-37);Lung Carcinoma   ;27
Cell-line;Transcriptome;Microarray (EMTAB-37);Lung Colorectal Adenocarcinoma  ;2
Cell-line;Transcriptome;Microarray (EMTAB-37);Lung Large Cell Carcinoma ;1
Cell-line;Transcriptome;Microarray (EMTAB-37);Lung Mesothelioma   ;1
Cell-line;Transcriptome;Microarray (EMTAB-37);Lung Myeloid Leukemia  ;1
Cell-line;Transcriptome;Microarray (EMTAB-37);Lung Papillary Adenocarcinoma  ;1
Cell-line;Transcriptome;Microarray (EMTAB-37);Lung Sarcoma   ;1
Cell-line;Transcriptome;Microarray (EMTAB-37);Lung Small Cell Carcinoma ;15
Cell-line;Transcriptome;Microarray (EMTAB-37);Lung Squamous Cell Carcinoma ;2
Cell-line;Transcriptome;Microarray (EMTAB-37);Lymphoma    ;2
Cell-line;Transcriptome;Microarray (EMTAB-37);Muscle Osteosarcoma   ;1
Cell-line;Transcriptome;Microarray (EMTAB-37);Muscle Rhabdomyosarcoma   ;3
Cell-line;Transcriptome;Microarray (EMTAB-37);Myeloid Leukemia   ;1
Cell-line;Transcriptome;Microarray (EMTAB-37);Myeloma    ;4
Cell-line;Transcriptome;Microarray (EMTAB-37);Non-Hodgkin Lymphoma   ;1
Cell-line;Transcriptome;Microarray (EMTAB-37);Ovary Adenocarcinoma   ;1
Cell-line;Transcriptome;Microarray (EMTAB-37);Ovary Carcinoma   ;2
Cell-line;Transcriptome;Microarray (EMTAB-37);Ovary Clear Cell Adenocarcinoma ;1
Cell-line;Transcriptome;Microarray (EMTAB-37);Ovary Ovarian Serous Adenocarcinoma ;1
Cell-line;Transcriptome;Microarray (EMTAB-37);Pancreas Adenocarcinoma   ;2
Cell-line;Transcriptome;Microarray (EMTAB-37);Pancreas Carcinoma   ;7
Cell-line;Transcriptome;Microarray (EMTAB-37);Pharynx Carcinoma   ;2
