"","PC1","PC2"
"A_431",-24.7872978557779,6.65179752651695
"A549",6.39312539890167,4.55882710368438
"CACO_2",6.93911518681438,2.68335954915787
"CAPAN_2",1.07010522296913,0.20031355304919
"Daudi",-0.24740613160549,2.47682234181798
"HAP1",8.77810227887191,9.41133037797472
"HDLM_2",0.164231032415241,-3.39291280501443
"HeLa",3.57069730342697,6.99906700500906
"HepG2",10.8227210556088,8.30133127916585
"HL_60",9.12767751491825,10.5622520778734
"HMC_1",6.81234548783835,7.96471419488651
"K_562",8.0777598305187,8.80809578702402
"Karpas_707",-113.207522762591,-3.20354018358016
"MOLT_4",6.00838596205153,6.44660971749051
"NB_4",5.9597047137502,6.45910185553778
"REH",5.77705304223609,5.01061193331686
"RPMI_8226",4.62125175423552,3.94809705990017
"RT4",-1.22930890313774,-9.80582610489188
"SCLC_21H",4.52521056626388,6.69183149520561
"SiHa",5.75773553295148,3.82445129737213
"T_47d",4.22044148649636,-1.80806292438555
"THP_1",2.03456578132889,2.86187317597819
"U_138MG",3.31477895503831,0.491673045728796
"U_2OS",9.72423621825993,8.2924153448544
"U_2197",1.35826952735943,1.79505589037267
"U_251MG",9.6249193740644,4.50468677068464
"U_266_70",0.542727902799609,-3.03032064768199
"U_266_84",5.96152768546586,3.69792301174252
"U_698",6.07356844578815,5.91915757354819
"U_87MG",2.0265882252061,3.55656420621339
"U_937",-8.72087879565055,3.12164465222105
"WM_115",8.90556896318402,-113.998945160773
