"","PC1","PC2"
"A_431",-23.2603823050762,5.95211176252727
"A549",2.45345285800751,-37.5593704474774
"CACO_2",-12.8069578119843,14.889643146906
"CAPAN_2",42.6042466142749,36.6193852932571
"Daudi",-26.1674237505141,16.4516057808116
"HAP1",-25.2763428268476,13.9326822105144
"HDLM_2",-29.311824259663,11.6091697442585
"HeLa",-6.7943705454982,-41.736545815467
"HepG2",-1.58864819263537,-39.8029017833006
"HL_60",45.7106666931359,39.7249738890008
"HMC_1",-24.7161984805833,11.9115542386818
"K_562",-22.6522433958012,9.83970015690348
"Karpas_707",-22.8013597176194,8.48268578037067
"MOLT_4",-21.1001313605391,16.2977975488947
"NB_4",-26.4838737678831,11.0404772300664
"REH",43.7151570207295,38.1083906061977
"RPMI_8226",-23.2789922407317,17.4467972737131
"RT4",2.12449723241544,-41.3633111706668
"SCLC_21H",55.2989802130546,-10.1990530470733
"SiHa",6.12245789448188,-38.7904195901977
"T_47d",-0.132313574984034,-37.2407190428576
"THP_1",-31.6330066558566,8.91188476494513
"U_138MG",-23.8969103984841,12.3120900440355
"U_2OS",51.7494664580228,-8.78997933251347
"U_2197",-1.17058669952373,-41.5673966960711
"U_251MG",57.1497549843985,-8.50420489444404
"U_266_70",-26.1171316777672,12.1900048559908
"U_266_84",0.0551200618644532,-36.9942402894766
"U_698",-23.2869514527641,12.3051041274891
"U_87MG",53.0549083103486,-6.4432873832538
"U_937",-27.8005084907965,12.3526570536926
"WM_115",40.2374492648209,38.6127139845414
