"","PC1","PC2"
"A_431",-38.6305755915595,32.153850343242
"A549",-38.3209626335451,36.3876986783267
"CACO_2",34.8296421340323,19.2814106553027
"CAPAN_2",37.0844517378649,-10.2718397336401
"Daudi",39.4956345242399,11.7984707572756
"HAP1",-16.0053537665989,-8.74429969484548
"HDLM_2",44.053395532262,-8.43224650843967
"HeLa",-40.1058798846894,41.7359345616785
"HepG2",-17.6496587870417,-20.3660543979374
"HL_60",40.7619234201224,31.7855873477477
"HMC_1",31.8153570976127,16.8331342212061
"K_562",-16.345527347588,-21.6568048812292
"Karpas_707",-38.4350727991079,38.698503719874
"MOLT_4",-11.4218703031186,-18.1451265453469
"NB_4",41.7192130260734,-8.10196708245212
"REH",32.3326003220384,11.7778845516939
"RPMI_8226",-15.0450341863723,-40.2298738525714
"RT4",-21.4377112264352,-41.5304045704342
"SCLC_21H",-18.9942489371284,-26.2717222449851
"SiHa",-11.1676595699054,-21.8861675598119
"T_47d",-16.7614434693543,-32.2668972407659
"THP_1",37.8024114158738,0.926618429493227
"U_138MG",-14.4292164488553,-24.9973197318542
"U_2OS",-14.4551330958565,-13.2639845800541
"U_2197",-39.9934232041019,34.3559672280047
"U_251MG",-13.27294698035,-22.2054675765296
"U_266_70",-44.1071843644571,43.3412234858424
"U_266_84",-13.5030265013005,-21.8489279638441
"U_698",44.0040209951577,17.5636607069264
"U_87MG",-16.2534289352646,-16.6535995401263
"U_937",32.9749257243615,5.45599200995132
"WM_115",39.4617821029967,14.7767670082987
