"","PC1","PC2"
"A_431",-17.1033531358472,-10.0024722990634
"A549",34.8607706638204,-3.64277503565911
"CACO_2",-23.7897683816407,0.604166877796783
"CAPAN_2",-21.1061534043976,-11.3842272092812
"Daudi",-22.3380826293455,-5.36388401003461
"HAP1",-16.0112760805037,-5.17157155571683
"HDLM_2",-23.6604857816915,-8.36011611047366
"HeLa",36.805917647072,-10.7202260384847
"HepG2",39.1789144139436,31.1240650548219
"HL_60",-23.3083392909337,-5.29171201790994
"HMC_1",-26.9028575275059,-1.66761424347906
"K_562",-20.8219085643331,-3.18081328226857
"Karpas_707",-23.0026827564502,-16.06760480299
"MOLT_4",-23.4944492764421,43.059177561942
"NB_4",-21.0385504055961,-0.775777310825266
"REH",-22.4003666020943,37.513585857402
"RPMI_8226",-23.1792784104956,-15.0257504632048
"RT4",34.8902898802685,-12.4650068992336
"SCLC_21H",37.4449447569048,-3.95929673889573
"SiHa",37.4076527386596,-9.38929131351724
"T_47d",34.9647159739431,44.1520501397186
"THP_1",-16.5175399383589,49.7551221208549
"U_138MG",-19.0979283843173,-5.52232577791509
"U_2OS",37.115002617715,-12.4392145308093
"U_2197",33.4028776804341,-9.28268332733885
"U_251MG",33.2921161737297,-10.6563461941199
"U_266_70",-20.409272819687,-13.0553780889676
"U_266_84",37.7144472438985,-18.8440228897739
"U_698",-22.4408696295356,-8.49376954771313
"U_87MG",33.8471121624801,13.2011688448874
"U_937",-21.0242486087662,-2.51123543402883
"WM_115",-23.2773503249279,-16.1362213357184
