"","PC1","PC2"
"BREAST_BT549",6.58178531449513,-2.9070773509516
"BREAST_HS578T",3.72732209795278,-4.00838372486594
"BREAST_MCF7",3.18732070408961,-0.520540790174202
"BREAST_MCF7ADR",1.02091309340434,31.4607440153406
"BREAST_MDAMB231",4.29396851525733,-3.46316999119678
"BREAST_MDAMB435",-0.80380778883943,-10.4679614314361
"BREAST_T47D",5.84110562346229,-3.6704354905385
"CNS_SF268",1.30884056833301,-10.0337801654097
"CNS_SF295",5.40368763723236,-3.39557476291876
"CNS_SF539",6.40478741331943,29.6643373588964
"CNS_SNB19",3.14052336274908,5.76106522601499
"CNS_SNB75",3.44788252147919,0.526075821362404
"CNS_U251",4.37048281362338,-1.61729269557729
"COLON_COLO205",3.22400297993924,-6.51400308416634
"COLON_HCC2998",4.57924395093268,4.54015240692047
"COLON_HCT116",0.848680418470492,-5.23354616177852
"COLON_HCT15",0.182664873383691,-5.40294671257726
"COLON_HT29",-5.89134093823325,-8.35958062955608
"COLON_KM12",3.9585647915046,2.02197486125335
"COLON_SW620",3.59129409194693,-2.4200457960561
"LEUK_CCRFCEM",-152.114716801812,7.47641167678353
"LEUK_HL60",2.26561786600137,-9.54094283739561
"LEUK_K562",-1.34155726374145,-6.26044636191026
"LEUK_MOLT4",-2.68436044929883,-7.31280653332893
"LEUK_RPMI8226",-1.44307984408313,-3.09115746042458
"LEUK_SR",3.56768938456434,3.65223865259864
"MELAN_LOXIMVI",-0.832036271035642,-25.9661841556291
"MELAN_M14",-0.190407644625432,-34.6583204330119
"MELAN_MALME3M",5.66926801684373,3.33824418827097
"MELAN_SKMEL2",-3.70635989585876,-13.3342696781476
"MELAN_SKMEL28",4.77703100040576,4.57883785226376
"MELAN_SKMEL5",1.47069698873573,3.0706895348524
"MELAN_UACC257",3.85053214155578,0.764046115731055
"MELAN_UACC62",6.72466355585412,1.42425654208871
"NSCLC_A549",2.67262422130989,-8.06836892709299
"NSCLC_EKVX",1.03945156512939,-35.7530118317477
"NSCLC_H226",5.19904609778695,70.6090226249454
"NSCLC_H23",3.80304711654475,3.88122200446086
"NSCLC_H322M",0.847507255805244,-11.7823035914969
"NSCLC_H460",5.83452066656529,5.55756370802835
"NSCLC_H522",5.95175406950086,6.86175044484008
"NSCLC_HOP62",2.85188848329439,-1.37961338681949
"NSCLC_HOP92",6.88645292083155,5.47741321202193
"OVAR_IGROV1",-1.02725546722801,2.05793720558564
"OVAR_OVCAR3",2.39360252842405,-5.07134701211705
"OVAR_OVCAR4",-1.94422224460055,0.960461192981511
"OVAR_OVCAR5",2.71303474035252,-0.664914120842049
"OVAR_OVCAR8",2.45818996979525,-8.35215700603501
"OVAR_SKOV3",3.68829906102535,5.04311458443351
"PROSTATE_DU145",3.06137858276615,-0.0974587341571267
"PROSTATE_PC3",3.6317920585929,-0.327788917128772
"RENAL_7860",-1.33138207717403,-13.212217888105
"RENAL_A498",2.92031059999151,-1.28864194880707
"RENAL_ACHN",4.8835898740169,4.04283694985452
"RENAL_CAKI1",6.49578682157706,59.1222468408967
"RENAL_RXF393",1.82704932166021,-3.5088923321725
"RENAL_SN12C",3.17749433041276,-1.1134465167759
"RENAL_TK10",3.17071133894914,-1.78223866762573
"RENAL_UO31",4.36442533666245,-1.31177589245151
