"A_431","A549","CACO_2","CAPAN_2","Daudi","HAP1","HDLM_2","HeLa","HepG2","HL_60","HMC_1","K_562","Karpas_707","MOLT_4","NB_4","REH","RPMI_8226","RT4","SCLC_21H","SiHa","T_47d","THP_1","U_138MG","U_2OS","U_2197","U_251MG","U_266_70","U_266_84","U_698","U_87MG","U_937","WM_115"
"Exchange of Glypro",-1000,0,0,0,-1000,-1000,-1000,0,-399.850314746349,0,-1000,-1000,-1000,-1000,-1000,0,-1000,0,0,0,0,-1000,-1000,-300.971787625363,0,-217.541961045637,-1000,0,-1000,-700.791012312143,-1000,0
"Exchange of TyrGlu",-1000,0,-1000,0,-1000,-1000,-1000,0,0,0,-1000,-1000,-1000,-1000,-1000,0,-1000,0,0,0,0,-1000,-1000,0,0,0,-1000,0,-1000,0,-1000,0
"Metabolism (Formation/Degradation) of TyrGlu",1000,0,1000,0,1000,1000,1000,0,0,0,1000,1000,1000,1000,1000,0,1000,0,0,0,0,1000,1000,0,0,0,1000,0,1000,0,1000,0
"Transport of Glycylproline",-1000,0,0,0,-1000,-1000,-1000,0,-399.850314746349,0,-1000,-1000,-1000,-1000,-1000,0,-1000,0,0,0,0,-1000,-1000,-300.971787625363,0,-217.541961045637,-1000,0,-1000,-700.791012312143,-1000,0
"Transport of TyrGlu, Extracellular",1000,NA,1000,0,1000,1000,1000,NA,NA,0,1000,1000,1000,1000,1000,0,1000,NA,NA,NA,NA,1000,1000,NA,NA,NA,1000,NA,1000,NA,1000,0
"Transport of TrpThrGlu, Extracellular",-1000,NA,-1000,0,-1000,-1000,-1000,NA,NA,0,-1000,0,-1000,-1000,0,0,-1000,NA,NA,NA,NA,-1000,-1000,NA,NA,NA,0,NA,-1000,NA,-1000,0
"Transport of ArgArgLys, Extracellular",1000,NA,1000,0,1000,1000,0,NA,NA,0,1000,1000,1000,1000,1000,0,1000,NA,NA,NA,NA,1000,0,NA,NA,NA,1000,NA,1000,NA,1000,0
"Metabolism (Formation/Degradation) of ArgArgLys",1000,0,1000,0,1000,1000,0,0,0,0,1000,1000,1000,1000,1000,0,1000,0,0,0,0,1000,0,0,0,0,1000,0,1000,0,1000,0
"Exchange of LysArgLeu",-1000,0,-1000,0,-1000,-1000,-1000,0,0,0,0,-1000,-1000,-1000,-1000,0,-1000,0,0,0,0,-1000,-1000,0,0,0,-1000,0,-1000,0,-1000,0
"Exchange of GlntyrLeu",1000,0,0,0,1000,1000,1000,0,0,547.967161741142,1000,231.98789249918,704.94606918162,1000,1000,0,1000,0,0,0,0,1000,1000,0,0,0,774.561621873338,0,1000,0,1000,0
"Transport of PhePheThr, Extracellular",1000,NA,1000,0,1000,1000,1000,NA,NA,0,1000,1000,1000,1000,0,0,1000,NA,NA,NA,NA,1000,1000,NA,NA,NA,1000,NA,0,NA,1000,0
"Exchange of TyrAlaPhe",1000,0,1000,0,1000,1000,1000,0,0,0,1000,0,1000,1000,1000,0,1000,0,0,0,0,1000,1000,0,0,0,1000,0,1000,0,1000,0
"Metabolism (Formation/Degradation) of GlntyrLeu",-1000,0,0,0,-1000,-1000,-1000,0,0,-547.967161741142,-1000,-231.98789249918,-704.94606918162,-1000,-1000,0,-1000,0,0,0,0,-1000,-1000,0,0,0,-774.561621873338,0,-1000,0,-1000,0
"Metabolism (Formation/Degradation) of LysArgLeu",1000,0,1000,0,1000,1000,1000,0,0,0,0,1000,1000,1000,1000,0,1000,0,0,0,0,1000,1000,0,0,0,1000,0,1000,0,1000,0
"Transport of TyrAlaPhe, Extracellular",-1000,NA,-1000,0,-1000,-1000,-1000,NA,NA,0,-1000,0,-1000,-1000,-1000,0,-1000,NA,NA,NA,NA,-1000,-1000,NA,NA,NA,-1000,NA,-1000,NA,-1000,0
