"A_431","A549","CACO_2","CAPAN_2","Daudi","HAP1","HDLM_2","HeLa","HepG2","HL_60","HMC_1","K_562","Karpas_707","MOLT_4","NB_4","REH","RPMI_8226","RT4","SCLC_21H","SiHa","T_47d","THP_1","U_138MG","U_2OS","U_2197","U_251MG","U_266_70","U_266_84","U_698","U_87MG","U_937","WM_115"
"Exchange of HisHisLys",1000,0,1000,1000,1000,1000,1000,0,0,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,1000,1000,0,0,0,1000,0,1000,0,1000,1000
"Transport of LysLysLys, Extracellular",-1000,0,-1000,-1000,-1000,-1000,-1000,0,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,0,0,0,0,-1000,-1000,0,0,0,-1000,0,-1000,0,-1000,-1000
"Exchange of TrpProLeu",-1000,0,-1000,-1000,-1000,-1000,-292.044407725171,0,0,-479.282789548076,-1000,-1000,-1000,-1000,-1000,-398.104911884112,-1000,0,0,0,0,0,-1000,0,0,0,-1000,0,-1000,0,-1000,-408.66449148699
"Metabolism (Formation/Degradation) of ArgAlaThr",-1000,0,-1000,-1000,-1000,-1000,-1000,0,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,0,0,0,0,-1000,-1000,0,0,0,-1000,0,-1000,0,-1000,-1000
"Metabolism (Formation/Degradation) of ArgCysGly",-1000,0,-1000,-1000,-1000,-1000,-1000,0,0,-1000,-1000,-1000,-1000,-192.400847196452,-1000,-1000,-1000,0,0,0,0,-1000,-1000,0,0,0,-1000,0,-1000,0,-1000,-1000
"Exchange of PhePheAsn",1000,0,1000,1000,1000,1000,1000,0,0,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,1000,1000,0,0,0,1000,0,1000,0,1000,1000
"Exchange of ProGlnPro",1000,0,1000,1000,1000,1000,594.851595951418,0,0,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,1000,1000,0,0,0,1000,0,1000,0,1000,1000
"Metabolism (Formation/Degradation) of ProGlnPro",-1000,0,-1000,-1000,-1000,-1000,-594.851595951418,0,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,0,0,0,0,-1000,-1000,0,0,0,-1000,0,-1000,0,-1000,-1000
"Metabolism (Formation/Degradation) of ArgLeuPhe",-1000,0,-1000,-1000,-1000,-1000,-1000,0,0,-1000,-1000,-1000,-1000,0,-1000,-1000,-1000,0,0,0,0,-1000,-1000,0,0,0,-1000,0,-1000,0,-1000,-1000
"Metabolism (Formation/Degradation) of TrpProLeu",1000,0,1000,1000,1000,1000,292.044407725171,0,0,479.282789548076,1000,1000,1000,1000,1000,398.104911884112,1000,0,0,0,0,0,1000,0,0,0,1000,0,1000,0,1000,408.66449148699
"Transport of ProLysPro, Extracellular",-1000,0,-1000,-1000,-1000,-1000,-1000,0,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,0,0,0,0,-1000,-1000,0,0,0,-1000,0,-1000,0,-1000,-1000
"Exchange of ProValGln",-1000,0,-1000,-1000,-1000,-1000,-1000,0,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,0,0,0,0,-1000,-1000,0,0,0,-1000,0,-1000,0,-1000,-1000
"Transport of ProGlnPro, Extracellular",-1000,0,-1000,-1000,-1000,-1000,-594.851595951418,0,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,0,0,0,0,-1000,-1000,0,0,0,-1000,0,-1000,0,-1000,-1000
"Exchange of ArgAlaThr",1000,0,1000,1000,1000,1000,1000,0,0,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,1000,1000,0,0,0,1000,0,1000,0,1000,1000
"Metabolism (Formation/Degradation) of GluLeu",-1000,0,-1000,-1000,-1000,-869.299883868823,-1000,0,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,0,0,0,0,0,-1000,0,0,0,-1000,0,-1000,0,-1000,-1000
